start_date,end_date
2024-12-30,2025-01-05
2025-01-06,2025-01-12
2025-01-13,2025-01-19
2025-01-20,2025-01-26
2025-01-27,2025-02-02
2025-02-03,2025-02-09
2025-02-10,2025-02-16
2025-02-17,2025-02-23
2025-02-24,2025-03-02
2025-03-03,2025-03-09
2025-03-10,2025-03-16
2025-03-17,2025-03-23
2025-03-24,2025-03-30
2025-03-31,2025-04-06
2025-04-07,2025-04-13
2025-04-14,2025-04-20
2025-04-21,2025-04-27
2025-04-28,2025-05-04
2025-05-05,2025-05-11
2025-05-12,2025-05-18
2025-05-19,2025-05-25
2025-05-26,2025-06-01
2025-06-02,2025-06-08
2025-06-09,2025-06-15
2025-06-16,2025-06-22
2025-06-23,2025-06-29
2025-06-30,2025-07-06
2025-07-07,2025-07-13
2025-07-14,2025-07-20
2025-07-21,2025-07-27
2025-07-28,2025-08-03
2025-08-04,2025-08-10
2025-08-11,2025-08-17
2025-08-18,2025-08-24
2025-08-25,2025-08-31
2025-09-01,2025-09-07
2025-09-08,2025-09-14
2025-09-15,2025-09-21
2025-09-22,2025-09-28
2025-09-29,2025-10-05
2025-10-06,2025-10-12
2025-10-13,2025-10-19
2025-10-20,2025-10-26
2025-10-27,2025-11-02
2025-11-03,2025-11-09
2025-11-10,2025-11-16
2025-11-17,2025-11-23
2025-11-24,2025-11-30
2025-12-01,2025-12-07
2025-12-08,2025-12-14
2025-12-15,2025-12-21
2025-12-22,2025-12-28
2025-12-29,2025-12-31
