date,origine,od_happy_card,train_no,heure_arrivee,axe,destination,entity,destination_iata,heure_depart,origine_iata
2025-01-12,TOULOUSE MATABIAU,OUI,6875,21:54,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-12,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-12,TOULOUSE MATABIAU,NON,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-11,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-11,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-11,TOULOUSE MATABIAU,NON,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-19,TOULOUSE MATABIAU,NON,6875,21:54,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-19,TOULOUSE MATABIAU,NON,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-19,TOULOUSE MATABIAU,NON,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-18,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-18,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-18,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-17,TOULOUSE MATABIAU,NON,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-17,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-17,TOULOUSE MATABIAU,NON,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-16,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-16,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-16,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-15,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-15,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-15,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-14,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-14,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-14,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-13,TOULOUSE MATABIAU,OUI,6875,21:36,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-13,TOULOUSE MATABIAU,OUI,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
2025-01-13,TOULOUSE MATABIAU,OUI,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-26,TOULOUSE MATABIAU,NON,6875,21:54,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,17:39,FRXYT
2025-01-26,TOULOUSE MATABIAU,NON,6873,19:50,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,15:44,FRXYT
2025-01-26,TOULOUSE MATABIAU,NON,6871,11:48,SUD EST,LYON (intramuros),JCSUDPROV,FRLPD,07:39,FRXYT
